County,State,INflow,OUTflow,NET in,GROSS out
Luna County,New Mexico,1135.0,2026.0,-1137.0,2915.0
Lunenburg County,Virginia,336.0,684.0,-367.0,1001.0
Luquillo Municipio,Puerto Rico,876.0,998.0,-122.0,1874.0
Luzerne County,Pennsylvania,14928.0,10439.0,3312.0,24190.0
Lycoming County,Pennsylvania,5497.0,4931.0,232.0,10094.0
Lyman County,South Dakota,210.0,188.0,21.0,397.0
Lynchburg City,Virginia,10816.0,7126.0,3209.0,17461.0
Lynn County,Texas,658.0,404.0,250.0,1058.0
Lyon County,Iowa,10112.0,8070.0,1536.0,17676.0
Mackinac County,Michigan,850.0,581.0,146.0,1308.0
Macomb County,Michigan,36093.0,33858.0,-258.0,67458.0
Macon County,Alabama,11352.0,9952.0,972.0,20876.0
Macoupin County,Illinois,1656.0,2312.0,-668.0,3956.0
Madera County,California,9462.0,8275.0,597.0,17147.0
Madison County,Alabama,91114.0,82121.0,4398.0,168640.0
Madison Parish,Louisiana,861.0,634.0,183.0,1451.0
Magoffin County,Kentucky,664.0,627.0,-10.0,1244.0
Mahaska County,Iowa,1204.0,1593.0,-418.0,2768.0
Mahnomen County,Minnesota,283.0,204.0,75.0,483.0
Mahoning County,Ohio,11182.0,11324.0,-588.0,22060.0
Major County,Oklahoma,556.0,467.0,74.0,1008.0
Malheur County,Oregon,2788.0,1725.0,1003.0,4453.0
Manassas City,Virginia,4849.0,3879.0,681.0,8439.0
Manassas Park City,Virginia,2330.0,2451.0,-184.0,4718.0
Manatee County,Florida,30754.0,18474.0,9552.0,46500.0
Manatí Municipio,Puerto Rico,1582.0,1398.0,126.0,2922.0
Manistee County,Michigan,1417.0,1312.0,76.0,2700.0
Manitowoc County,Wisconsin,2336.0,3467.0,-1321.0,5613.0
Marathon County,Wisconsin,5873.0,7685.0,-1945.0,13425.0
Marengo County,Alabama,471.0,739.0,-270.0,1208.0
Maricao Municipio,Puerto Rico,176.0,34.0,45.0,113.0
Maricopa County,Arizona,215192.0,148497.0,41348.0,338342.0
Maries County,Missouri,941.0,630.0,269.0,1529.0
Marin County,California,19049.0,16518.0,247.0,33283.0
Marinette County,Wisconsin,2285.0,2208.0,15.0,4431.0
Marion County,Alabama,117279.0,110776.0,-1902.0,219650.0
Mariposa County,California,1350.0,1329.0,7.0,2665.0
Marlboro County,South Carolina,1558.0,1634.0,-130.0,3138.0
Marquette County,Michigan,4872.0,4081.0,601.0,8763.0
Marshall County,Alabama,17647.0,18853.0,-1948.0,35758.0
Martin County,Florida,15570.0,11501.0,3079.0,26081.0
Martinsville City,Virginia,1626.0,860.0,766.0,2486.0
Mason County,Illinois,10121.0,8896.0,781.0,18573.0
Massac County,Illinois,418.0,887.0,-534.0,1240.0
Matagorda County,Texas,2279.0,1542.0,455.0,3539.0
Matanuska-Susitna Borough,Alaska,8286.0,6400.0,1466.0,14266.0
Mathews County,Virginia,637.0,387.0,250.0,1024.0
Maui County,Hawaii,9370.0,6328.0,1302.0,13958.0
Maunabo Municipio,Puerto Rico,86.0,245.0,-159.0,331.0
Maury County,Tennessee,7433.0,5363.0,1851.0,12577.0
Maverick County,Texas,2677.0,1507.0,490.0,3504.0
Mayagüez Municipio,Puerto Rico,3762.0,3089.0,452.0,6630.0
Mayes County,Oklahoma,2045.0,2414.0,-409.0,4419.0
McClain County,Oklahoma,3800.0,3910.0,-197.0,7623.0
McCone County,Montana,27.0,56.0,-29.0,83.0
McCook County,South Dakota,457.0,529.0,-72.0,986.0
McCormick County,South Carolina,961.0,520.0,409.0,1449.0
McCracken County,Kentucky,2665.0,3407.0,-857.0,5957.0
McCreary County,Kentucky,1208.0,1163.0,8.0,2334.0
McCulloch County,Texas,348.0,1554.0,-1206.0,1902.0
McCurtain County,Oklahoma,815.0,1798.0,-1009.0,2587.0
McDonald County,Missouri,1271.0,1607.0,-375.0,2839.0
McDonough County,Illinois,3282.0,1893.0,1277.0,5063.0
McDowell County,North Carolina,2636.0,2950.0,-374.0,5526.0
McDuffie County,Georgia,1424.0,960.0,456.0,2376.0
McHenry County,Illinois,14687.0,16979.0,-2818.0,31140.0
McIntosh County,Georgia,1234.0,2084.0,-864.0,3304.0
McKean County,Pennsylvania,2129.0,1900.0,123.0,3923.0
McKenzie County,North Dakota,2126.0,1993.0,133.0,4119.0
McKinley County,New Mexico,2206.0,2985.0,-897.0,5073.0
McLean County,Illinois,13579.0,12089.0,783.0,24961.0
McLennan County,Texas,18637.0,13303.0,4273.0,30879.0
McLeod County,Minnesota,1685.0,2462.0,-826.0,4098.0
McMinn County,Tennessee,4494.0,2678.0,1783.0,7139.0
McMullen County,Texas,25.0,30.0,-5.0,55.0
McNairy County,Tennessee,948.0,1405.0,-499.0,2311.0
McPherson County,Kansas,2072.0,2020.0,-61.0,3979.0
Meade County,Kansas,7428.0,5167.0,1792.0,12126.0
Meagher County,Montana,263.0,207.0,52.0,466.0
Mecklenburg County,North Carolina,80014.0,73731.0,-2725.0,144737.0
Mecosta County,Michigan,4635.0,2811.0,1691.0,7313.0
Medina County,Ohio,11861.0,12337.0,-727.0,23947.0
Meeker County,Minnesota,1088.0,1087.0,-36.0,2138.0
Meigs County,Ohio,2624.0,2078.0,521.0,4677.0
Mellette County,South Dakota,73.0,65.0,8.0,138.0
Menard County,Illinois,642.0,877.0,-238.0,1516.0
Mendocino County,California,4101.0,4152.0,-231.0,8073.0
Menifee County,Kentucky,395.0,160.0,227.0,547.0
Menominee County,Michigan,1306.0,1423.0,-148.0,2698.0
Merced County,California,15245.0,12699.0,1165.0,26563.0
Mercer County,Illinois,39154.0,35330.0,597.0,71257.0
Meriwether County,Georgia,1272.0,1468.0,-204.0,2732.0
Merrick County,Nebraska,371.0,813.0,-445.0,1181.0
Merrimack County,New Hampshire,10534.0,9542.0,495.0,19579.0
Mesa County,Colorado,10451.0,7844.0,2307.0,17995.0
Metcalfe County,Kentucky,652.0,513.0,128.0,1154.0
Miami County,Indiana,10775.0,10037.0,120.0,20194.0
Miami-Dade County,Florida,97749.0,102258.0,-47071.0,157445.0
Middlesex County,Connecticut,162299.0,153331.0,-21765.0,284897.0
Midland County,Michigan,19421.0,18867.0,-901.0,36833.0
Mifflin County,Pennsylvania,1549.0,1677.0,-191.0,3163.0
Milam County,Texas,1994.0,1445.0,536.0,3426.0
Millard County,Utah,564.0,1050.0,-508.0,1592.0
Mille Lacs County,Minnesota,2105.0,1837.0,214.0,3888.0
Miller County,Arkansas,5469.0,3852.0,1581.0,9285.0
Mills County,Iowa,1622.0,1039.0,563.0,2641.0
Milwaukee County,Wisconsin,38677.0,44351.0,-9246.0,79456.0
Miner County,South Dakota,126.0,116.0,10.0,242.0
Mineral County,Colorado,1519.0,1662.0,-150.0,3174.0
Mingo County,West Virginia,707.0,1350.0,-741.0,1959.0
Minidoka County,Idaho,1990.0,1028.0,850.0,2906.0
Minnehaha County,South Dakota,14414.0,14505.0,-1573.0,27437.0
Missaukee County,Michigan,1016.0,1116.0,-135.0,2097.0
Mississippi County,Arkansas,3020.0,2975.0,-13.0,5937.0
Missoula County,Montana,11674.0,8080.0,2894.0,19054.0
Mitchell County,Georgia,3675.0,4050.0,-409.0,7691.0
Mobile County,Alabama,12496.0,17364.0,-5565.0,29163.0
Moca Municipio,Puerto Rico,1088.0,1450.0,-362.0,2538.0
Modoc County,California,724.0,778.0,-62.0,1494.0
Moffat County,Colorado,1256.0,1162.0,-52.0,2272.0
Mohave County,Arizona,17865.0,10463.0,6445.0,27371.0
Moniteau County,Missouri,1136.0,954.0,179.0,2087.0
Monmouth County,New Jersey,26169.0,26894.0,-3095.0,50693.0
Mono County,California,600.0,942.0,-449.0,1435.0
Monona County,Iowa,463.0,605.0,-148.0,1062.0
Monongalia County,West Virginia,12957.0,6962.0,5013.0,18937.0
Monroe County,Alabama,94661.0,77032.0,9977.0,164041.0
Montague County,Texas,1557.0,1146.0,391.0,2683.0
Montcalm County,Michigan,4217.0,3763.0,358.0,7884.0
Monterey County,California,25981.0,22830.0,-493.0,45167.0
Montezuma County,Colorado,969.0,1434.0,-500.0,2368.0
Montgomery County,Alabama,249766.0,219402.0,1142.0,439946.0
Montmorency County,Michigan,721.0,483.0,226.0,1192.0
Montour County,Pennsylvania,1207.0,1551.0,-392.0,2710.0
Montrose County,Colorado,2598.0,2842.0,-500.0,5184.0
Moody County,South Dakota,303.0,280.0,17.0,577.0
Moore County,North Carolina,9071.0,8470.0,68.0,17008.0
Mora County,New Mexico,54.0,203.0,-149.0,257.0
Morehouse Parish,Louisiana,706.0,1130.0,-426.0,1834.0
Morgan County,Alabama,20899.0,20606.0,-73.0,41139.0
Morovis Municipio,Puerto Rico,766.0,1013.0,-247.0,1779.0
Morrill County,Nebraska,289.0,1240.0,-958.0,1522.0
Morris County,Kansas,24248.0,27620.0,-6655.0,48585.0
Morrison County,Minnesota,1691.0,1494.0,167.0,3155.0
Morrow County,Ohio,2517.0,2034.0,419.0,4487.0
Morton County,Kansas,3044.0,2232.0,804.0,5268.0
Motley County,Texas,172.0,8.0,164.0,180.0
Moultrie County,Illinois,831.0,781.0,35.0,1597.0
Mountrail County,North Dakota,862.0,950.0,-103.0,1797.0
Mower County,Minnesota,2510.0,2433.0,-112.0,4754.0
Muhlenberg County,Kentucky,1042.0,1402.0,-366.0,2438.0
Multnomah County,Oregon,62200.0,56754.0,-1501.0,112007.0
Murray County,Georgia,1781.0,3112.0,-1374.0,4850.0
Muscatine County,Iowa,1326.0,2443.0,-1248.0,3638.0
Muscogee County,Georgia,20664.0,16156.0,2705.0,35017.0
Muskegon County,Michigan,9295.0,8365.0,448.0,17178.0
Muskingum County,Ohio,3473.0,4219.0,-813.0,7625.0
Muskogee County,Oklahoma,5171.0,4775.0,252.0,9802.0
Musselshell County,Montana,350.0,482.0,-132.0,832.0
Nacogdoches County,Texas,6087.0,4462.0,1566.0,10490.0
Naguabo Municipio,Puerto Rico,1061.0,987.0,74.0,2048.0
Nance County,Nebraska,191.0,293.0,-102.0,484.0
Nantucket County,Massachusetts,664.0,744.0,-122.0,1366.0
Napa County,California,7120.0,9448.0,-2978.0,15918.0
Naranjito Municipio,Puerto Rico,677.0,628.0,48.0,1304.0
Nash County,North Carolina,7521.0,4949.0,2192.0,12090.0
Nassau County,Florida,53338.0,55929.0,-7517.0,104341.0
Natchitoches Parish,Louisiana,2889.0,1201.0,1500.0,3902.0
Natrona County,Wyoming,3276.0,4784.0,-1646.0,7922.0
Navajo County,Arizona,7073.0,6329.0,660.0,13318.0
Navarro County,Texas,2886.0,2820.0,-145.0,5495.0
Nelson County,Kentucky,2352.0,2867.0,-556.0,5178.0
Nemaha County,Kansas,1234.0,999.0,118.0,2116.0
Neosho County,Kansas,829.0,709.0,91.0,1509.0
Neshoba County,Mississippi,1186.0,1575.0,-450.0,2700.0
Ness County,Kansas,89.0,15.0,71.0,101.0
Nevada County,Arkansas,5762.0,6658.0,-1334.0,11982.0
New Castle County,Delaware,26363.0,23373.0,468.0,47214.0
New Hanover County,North Carolina,20250.0,14817.0,4735.0,34369.0
New Haven County,Connecticut,39522.0,36269.0,-1147.0,71391.0
New Kent County,Virginia,2428.0,732.0,1696.0,3160.0
New London County,Connecticut,16899.0,14504.0,1596.0,30604.0
New Madrid County,Missouri,871.0,2129.0,-1274.0,2984.0
New York County,New York,127305.0,133031.0,-33913.0,232149.0
Newaygo County,Michigan,2403.0,2326.0,18.0,4670.0
Newberry County,South Carolina,1677.0,1628.0,-23.0,3233.0
Newport County,Rhode Island,8711.0,6953.0,730.0,14636.0
Newport News City,Virginia,18292.0,17324.0,22.0,34670.0
Newton County,Arkansas,15355.0,14993.0,-491.0,29495.0
Nez Perce County,Idaho,2663.0,3498.0,-895.0,6101.0
Niagara County,New York,6796.0,9022.0,-2534.0,15510.0
Nicholas County,Kentucky,884.0,1742.0,-875.0,2609.0
Nicollet County,Minnesota,2966.0,3185.0,-245.0,6125.0
Niobrara County,Wyoming,233.0,319.0,-86.0,552.0
Noble County,Indiana,5473.0,4333.0,1004.0,9670.0
Nobles County,Minnesota,637.0,1327.0,-755.0,1899.0
Nodaway County,Missouri,3166.0,1748.0,1331.0,4827.0
Nolan County,Texas,1193.0,1565.0,-490.0,2640.0
Nome Census Area,Alaska,498.0,460.0,25.0,945.0
Norfolk City,Virginia,35545.0,24863.0,8494.0,58220.0
Norfolk County,Massachusetts,49387.0,44787.0,-2367.0,87207.0
Norman County,Minnesota,387.0,437.0,-72.0,802.0
North Slope Borough,Alaska,925.0,568.0,325.0,1461.0
Northampton County,North Carolina,21477.0,16928.0,3630.0,37486.0
Northumberland County,Pennsylvania,4966.0,4842.0,-6.0,9678.0
Northwest Arctic Borough,Alaska,374.0,624.0,-254.0,994.0
Norton City,Virginia,572.0,180.0,392.0,752.0
Norton County,Kansas,662.0,893.0,-231.0,1555.0
Nottoway County,Virginia,1152.0,2483.0,-1363.0,3603.0
Nowata County,Oklahoma,671.0,682.0,-27.0,1337.0
Noxubee County,Mississippi,303.0,422.0,-143.0,701.0
Nuckolls County,Nebraska,147.0,276.0,-129.0,423.0
Nueces County,Texas,19618.0,17803.0,636.0,36242.0
Nye County,Nevada,3298.0,3126.0,82.0,6334.0
O'Brien County,Iowa,1130.0,503.0,546.0,1552.0
Oakland County,Michigan,64030.0,67883.0,-14519.0,121247.0
Obion County,Tennessee,1594.0,1427.0,129.0,2983.0
Ocean County,New Jersey,24851.0,20262.0,3189.0,43713.0
Oceana County,Michigan,1660.0,1555.0,89.0,3199.0
Ochiltree County,Texas,641.0,513.0,-6.0,1020.0
Oconee County,Georgia,9116.0,5007.0,3935.0,13949.0
Oconto County,Wisconsin,1905.0,2150.0,-264.0,4036.0
Ogemaw County,Michigan,1236.0,1237.0,-22.0,2452.0
Oglala Lakota County,South Dakota,504.0,649.0,-145.0,1153.0
Ogle County,Illinois,2648.0,3480.0,-915.0,6045.0
Oglethorpe County,Georgia,831.0,943.0,-134.0,1752.0
Ohio County,Indiana,3966.0,3555.0,301.0,7411.0
Okaloosa County,Florida,22424.0,19733.0,573.0,40039.0
Okanogan County,Washington,3045.0,1840.0,1038.0,4718.0
Okeechobee County,Florida,2354.0,2314.0,-139.0,4489.0
Okfuskee County,Oklahoma,745.0,835.0,-122.0,1548.0
Oklahoma County,Oklahoma,47391.0,43595.0,460.0,87650.0
Okmulgee County,Oklahoma,2775.0,2681.0,38.0,5400.0
Oktibbeha County,Mississippi,6680.0,4114.0,2393.0,10621.0
Oldham County,Kentucky,5719.0,4553.0,1020.0,10126.0
Oliver County,North Dakota,122.0,13.0,105.0,131.0
Olmsted County,Minnesota,11012.0,9362.0,459.0,19183.0
Oneida County,Idaho,12368.0,11103.0,507.0,22713.0
Onondaga County,New York,24070.0,24272.0,-3688.0,44856.0
Onslow County,North Carolina,31851.0,25154.0,4370.0,54678.0
Ontario County,New York,6863.0,6642.0,-26.0,13258.0
Ontonagon County,Michigan,206.0,175.0,25.0,375.0
Orange County,California,296568.0,264492.0,-15369.0,513615.0
Orangeburg County,South Carolina,3265.0,4683.0,-1671.0,7695.0
Oregon County,Missouri,527.0,341.0,178.0,860.0
Orleans County,New York,3594.0,3717.0,-280.0,7154.0
Orleans Parish,Louisiana,22831.0,28117.0,-7328.0,48906.0
Orocovis Municipio,Puerto Rico,785.0,1557.0,-775.0,2339.0
Osage County,Kansas,5425.0,4980.0,405.0,10365.0
Osborne County,Kansas,242.0,325.0,-85.0,565.0
Osceola County,Florida,33651.0,23982.0,6135.0,54099.0
Oscoda County,Michigan,399.0,351.0,45.0,747.0
Oswego County,New York,6498.0,6376.0,-180.0,12572.0
Otero County,Colorado,9159.0,7297.0,-216.0,14378.0
Otoe County,Nebraska,1009.0,1046.0,-37.0,2055.0
Otsego County,Michigan,5565.0,4821.0,593.0,10235.0
Ottawa County,Kansas,26971.0,20956.0,5077.0,46989.0
Otter Tail County,Minnesota,2894.0,2504.0,315.0,5323.0
Ouachita County,Arkansas,713.0,1584.0,-879.0,2289.0
Ouachita Parish,Louisiana,5348.0,6368.0,-1409.0,11327.0
Ouray County,Colorado,318.0,653.0,-341.0,965.0
Outagamie County,Wisconsin,9776.0,13370.0,-3738.0,23002.0
Overton County,Tennessee,745.0,901.0,-192.0,1610.0
Owen County,Indiana,2755.0,2379.0,319.0,5077.0
Owsley County,Kentucky,153.0,456.0,-303.0,609.0
Owyhee County,Idaho,1199.0,1186.0,-99.0,2273.0
Oxford County,Maine,2518.0,2313.0,150.0,4776.0
Ozark County,Missouri,424.0,396.0,28.0,820.0
Ozaukee County,Wisconsin,5627.0,4963.0,347.0,10273.0
Pacific County,Washington,1478.0,1161.0,289.0,2611.0
Page County,Iowa,2404.0,2758.0,-411.0,5105.0
Palm Beach County,Florida,86466.0,61557.0,9366.0,132480.0
Palo Alto County,Iowa,593.0,612.0,-19.0,1205.0
Palo Pinto County,Texas,1734.0,2300.0,-601.0,3999.0
Pamlico County,North Carolina,659.0,974.0,-334.0,1614.0
Panola County,Mississippi,2322.0,3358.0,-1056.0,5660.0
Park County,Colorado,5103.0,4880.0,10.0,9770.0
Parke County,Indiana,1487.0,1001.0,455.0,2457.0
Parker County,Texas,10308.0,9903.0,-434.0,19372.0
Parmer County,Texas,614.0,408.0,206.0,1022.0
Pasco County,Florida,42414.0,29577.0,10834.0,69988.0
Pasquotank County,North Carolina,3886.0,2226.0,1633.0,6085.0
Passaic County,New Jersey,18211.0,21321.0,-5999.0,36643.0
Patillas Municipio,Puerto Rico,316.0,760.0,-444.0,1076.0
Patrick County,Virginia,765.0,441.0,324.0,1206.0
Paulding County,Georgia,12261.0,10795.0,1231.0,22821.0
Pawnee County,Kansas,2279.0,1828.0,430.0,4086.0
Payette County,Idaho,1972.0,1510.0,391.0,3411.0
Payne County,Oklahoma,12132.0,7588.0,3370.0,18546.0
Peach County,Georgia,1926.0,2194.0,-280.0,4108.0
Pearl River County,Mississippi,2954.0,3357.0,-493.0,6221.0
Pecos County,Texas,1245.0,1536.0,-313.0,2759.0
Pembina County,North Dakota,478.0,451.0,2.0,904.0
Pemiscot County,Missouri,790.0,1148.0,-358.0,1938.0
Pend Oreille County,Washington,1240.0,961.0,279.0,2201.0
Pender County,North Carolina,5198.0,3808.0,1249.0,8865.0
Pendleton County,Kentucky,1345.0,1388.0,-44.0,2732.0
Pennington County,Minnesota,9651.0,9938.0,-962.0,18914.0
Penobscot County,Maine,9701.0,7609.0,1589.0,16807.0
Peoria County,Illinois,7543.0,12277.0,-5373.0,19181.0
Pepin County,Wisconsin,269.0,257.0,-12.0,502.0
Perkins County,Nebraska,183.0,259.0,-79.0,439.0
Perquimans County,North Carolina,629.0,1012.0,-383.0,1641.0
Perry County,Alabama,10769.0,11683.0,-1408.0,21958.0
Pershing County,Nevada,758.0,302.0,456.0,1060.0
Person County,North Carolina,1529.0,1459.0,11.0,2929.0
Petersburg Borough,Alaska,255.0,290.0,-50.0,530.0
Petersburg City,Virginia,4823.0,4663.0,-24.0,9302.0
Petroleum County,Montana,70.0,13.0,57.0,83.0
Pettis County,Missouri,2257.0,2224.0,-74.0,4374.0
Peñuelas Municipio,Puerto Rico,166.0,758.0,-592.0,924.0
Phelps County,Missouri,4382.0,4503.0,-430.0,8576.0
Philadelphia County,Pennsylvania,79835.0,81524.0,-13015.0,150033.0
Phillips County,Arkansas,1157.0,1870.0,-735.0,3005.0
Piatt County,Illinois,799.0,1173.0,-377.0,1969.0
Pickaway County,Ohio,4680.0,4990.0,-375.0,9605.0
Pickens County,Alabama,17191.0,12618.0,3825.0,29061.0
Pickett County,Tennessee,345.0,354.0,-9.0,699.0
Pierce County,Georgia,77380.0,59754.0,12751.0,132259.0
Pike County,Alabama,16721.0,16119.0,17.0,32255.0
Pima County,Arizona,68666.0,45015.0,16121.0,106151.0
Pinal County,Arizona,46899.0,27895.0,16573.0,72363.0
Pine County,Minnesota,1945.0,1857.0,62.0,3776.0
Pinellas County,Florida,58850.0,46088.0,7827.0,100003.0
Pipestone County,Minnesota,726.0,587.0,115.0,1289.0
Piscataquis County,Maine,996.0,1278.0,-305.0,2251.0
Pitkin County,Colorado,1445.0,1730.0,-456.0,3004.0
Pitt County,North Carolina,21187.0,10167.0,10585.0,30919.0
Pittsburg County,Oklahoma,2896.0,2807.0,49.0,5663.0
Pittsylvania County,Virginia,2277.0,3112.0,-881.0,5343.0
Piute County,Utah,23.0,49.0,-26.0,72.0
Placer County,California,28896.0,24300.0,2992.0,51592.0
Plaquemines Parish,Louisiana,1444.0,1408.0,-10.0,2806.0
Platte County,Missouri,13764.0,10593.0,2696.0,23882.0
Pleasants County,West Virginia,517.0,433.0,84.0,950.0
Plumas County,California,1612.0,1562.0,-38.0,3086.0
Plymouth County,Iowa,24288.0,25296.0,-3154.0,47438.0
Pocahontas County,Iowa,816.0,1140.0,-332.0,1948.0
Poinsett County,Arkansas,1607.0,1582.0,-6.0,3158.0
Pointe Coupee Parish,Louisiana,1163.0,926.0,148.0,2000.0
Polk County,Arkansas,110286.0,82304.0,22234.0,186842.0
Ponce Municipio,Puerto Rico,3939.0,6727.0,-2932.0,10522.0
Pondera County,Montana,431.0,396.0,16.0,808.0
Pontotoc County,Mississippi,3451.0,3874.0,-529.0,7219.0
Pope County,Arkansas,5276.0,4399.0,622.0,9420.0
Poquoson City,Virginia,1210.0,889.0,78.0,1856.0
Portage County,Ohio,19050.0,13413.0,4361.0,31187.0
Porter County,Indiana,10286.0,9114.0,798.0,19026.0
Portsmouth City,Virginia,8776.0,9887.0,-1505.0,18269.0
Posey County,Indiana,1250.0,1703.0,-457.0,2949.0
Pottawatomie County,Kansas,6759.0,5401.0,1308.0,12110.0
Pottawattamie County,Iowa,4494.0,6115.0,-1872.0,10358.0
Potter County,Pennsylvania,8546.0,14141.0,-5926.0,22356.0
Powder River County,Montana,103.0,405.0,-302.0,508.0
Powell County,Kentucky,1936.0,1616.0,320.0,3552.0
Power County,Idaho,614.0,375.0,189.0,939.0
Poweshiek County,Iowa,1564.0,786.0,673.0,2245.0
Powhatan County,Virginia,2392.0,2195.0,197.0,4587.0
Prairie County,Arkansas,418.0,314.0,104.0,732.0
Pratt County,Kansas,754.0,527.0,211.0,1265.0
Preble County,Ohio,1233.0,1572.0,-370.0,2774.0
Prentiss County,Mississippi,876.0,952.0,-82.0,1822.0
Presidio County,Texas,315.0,852.0,-644.0,1060.0
Presque Isle County,Michigan,483.0,518.0,-51.0,985.0
Preston County,West Virginia,1834.0,1671.0,77.0,3419.0
Price County,Wisconsin,791.0,739.0,29.0,1507.0
Prince Edward County,Virginia,2324.0,1345.0,947.0,3637.0
Prince George County,Virginia,5621.0,5147.0,47.0,10341.0
Prince George's County,Maryland,58713.0,50832.0,656.0,102320.0
Prince William County,Virginia,34044.0,37290.0,-7478.0,67102.0
Prince of Wales-Hyder Census Area,Alaska,345.0,416.0,-86.0,746.0
Providence County,Rhode Island,30348.0,24093.0,1694.0,49880.0
Prowers County,Colorado,762.0,463.0,289.0,1215.0
Pueblo County,Colorado,8327.0,8868.0,-871.0,16865.0
Pulaski County,Arkansas,44187.0,34640.0,7261.0,76541.0
Pushmataha County,Oklahoma,787.0,721.0,57.0,1499.0
Putnam County,Florida,23647.0,20971.0,1715.0,43657.0
Quay County,New Mexico,252.0,836.0,-584.0,1088.0
Quebradillas Municipio,Puerto Rico,104.0,999.0,-895.0,1103.0
Queen Anne's County,Maryland,3147.0,2597.0,481.0,5675.0
Queens County,New York,77012.0,104277.0,-47565.0,160989.0
Quitman County,Georgia,411.0,674.0,-271.0,1077.0
Rabun County,Georgia,803.0,844.0,-78.0,1610.0
Racine County,Wisconsin,9848.0,8580.0,749.0,17909.0
Radford City,Virginia,3201.0,1408.0,1772.0,4588.0
Rains County,Texas,804.0,1255.0,-463.0,2047.0
Raleigh County,West Virginia,3963.0,3662.0,142.0,7466.0
Ralls County,Missouri,451.0,842.0,-391.0,1293.0
Ramsey County,Minnesota,47394.0,43465.0,182.0,87112.0
Randall County,Texas,13202.0,10514.0,2278.0,23306.0
Randolph County,Alabama,15034.0,16383.0,-1735.0,31031.0
Rankin County,Mississippi,11062.0,8987.0,1842.0,19816.0
Ransom County,North Dakota,287.0,272.0,1.0,545.0
Rapides Parish,Louisiana,6300.0,5867.0,225.0,11959.0
Rappahannock County,Virginia,537.0,461.0,68.0,990.0
Ravalli County,Montana,3103.0,3348.0,-276.0,6420.0
Rawlins County,Kansas,233.0,130.0,96.0,356.0
Ray County,Missouri,1340.0,1080.0,153.0,2313.0
Reagan County,Texas,147.0,390.0,-243.0,537.0
Real County,Texas,345.0,129.0,216.0,474.0
Red Lake County,Minnesota,95.0,203.0,-110.0,296.0
Red River County,Texas,394.0,409.0,-15.0,803.0
Red River Parish,Louisiana,304.0,122.0,182.0,426.0
Red Willow County,Nebraska,775.0,865.0,-119.0,1611.0
Redwood County,Minnesota,604.0,845.0,-259.0,1431.0
Reeves County,Texas,1376.0,815.0,298.0,1928.0
Refugio County,Texas,237.0,287.0,-52.0,522.0
Reno County,Kansas,4269.0,3904.0,48.0,7856.0
Rensselaer County,New York,12178.0,8685.0,2743.0,20113.0
Renville County,Minnesota,776.0,943.0,-183.0,1703.0
Republic County,Kansas,183.0,99.0,84.0,282.0
Reynolds County,Missouri,468.0,471.0,-3.0,939.0
Rhea County,Tennessee,1717.0,1960.0,-349.0,3571.0
Rice County,Kansas,6328.0,5585.0,241.0,11411.0
Rich County,Utah,49.0,194.0,-145.0,243.0
Richardson County,Nebraska,316.0,268.0,48.0,584.0
Richland County,Illinois,66402.0,41154.0,22163.0,104471.0
Richland Parish,Louisiana,975.0,1160.0,-222.0,2098.0
Richmond City,Virginia,27652.0,22218.0,3608.0,48044.0
Richmond County,Georgia,33768.0,32078.0,-1357.0,62799.0
Riley County,Kansas,11195.0,9798.0,57.0,19653.0
Rincón Municipio,Puerto Rico,332.0,689.0,-357.0,1021.0
Ringgold County,Iowa,244.0,326.0,-97.0,555.0
Rio Arriba County,New Mexico,1723.0,1362.0,341.0,3065.0
Rio Blanco County,Colorado,675.0,606.0,67.0,1279.0
Rio Grande County,Colorado,779.0,1123.0,-355.0,1891.0
Ripley County,Indiana,1962.0,1786.0,121.0,3693.0
Ritchie County,West Virginia,516.0,496.0,20.0,1012.0
Riverside County,California,127423.0,98000.0,19170.0,215170.0
Roane County,Tennessee,4025.0,3582.0,371.0,7535.0
Roanoke City,Virginia,8357.0,8675.0,-534.0,16816.0
Roanoke County,Virginia,7987.0,6957.0,752.0,14666.0
Roberts County,South Dakota,628.0,1017.0,-403.0,1631.0
Robertson County,Kentucky,6094.0,5523.0,266.0,11312.0
Robeson County,North Carolina,4190.0,4921.0,-981.0,8861.0
Rock County,Minnesota,7286.0,7071.0,-176.0,13966.0
Rock Island County,Illinois,7010.0,6647.0,-47.0,13247.0
Rockbridge County,Virginia,1552.0,1120.0,357.0,2597.0
Rockcastle County,Kentucky,967.0,1180.0,-215.0,2145.0
Rockdale County,Georgia,9916.0,7320.0,2453.0,17093.0
Rockingham County,New Hampshire,25955.0,25826.0,-980.0,50672.0
Rockland County,New York,13064.0,11632.0,-53.0,23211.0
Rockwall County,Texas,9970.0,6878.0,2450.0,16206.0
Roger Mills County,Oklahoma,344.0,138.0,206.0,482.0
Rogers County,Oklahoma,6554.0,5965.0,460.0,12390.0
Rolette County,North Dakota,339.0,570.0,-233.0,907.0
Rooks County,Kansas,185.0,247.0,-66.0,428.0
Roosevelt County,Montana,2783.0,2099.0,388.0,4586.0
Roscommon County,Michigan,2297.0,1162.0,1095.0,3419.0
Roseau County,Minnesota,417.0,803.0,-399.0,1207.0
Rosebud County,Montana,331.0,553.0,-222.0,884.0
Ross County,Ohio,4270.0,3350.0,849.0,7549.0
Routt County,Colorado,2166.0,2135.0,-52.0,4218.0
