County,State,INflow,OUTflow,NET in,GROSS out
Guthrie County,Iowa,728.0,635.0,75.0,1345.0
Guánica Municipio,Puerto Rico,155.0,1183.0,-1090.0,1276.0
Gwinnett County,Georgia,57339.0,54212.0,-3762.0,104662.0
Haakon County,South Dakota,42.0,180.0,-138.0,222.0
Habersham County,Georgia,3446.0,2292.0,799.0,5383.0
Haines Borough,Alaska,118.0,153.0,-35.0,271.0
Hale County,Alabama,3653.0,3767.0,-256.0,7278.0
Halifax County,North Carolina,2496.0,3283.0,-843.0,5723.0
Hall County,Georgia,16779.0,14266.0,1742.0,30274.0
Hamblen County,Tennessee,3139.0,4774.0,-1864.0,7684.0
Hamilton County,Florida,96373.0,85803.0,3727.0,175333.0
Hamlin County,South Dakota,512.0,622.0,-130.0,1114.0
Hampden County,Massachusetts,17262.0,17277.0,-1349.0,33205.0
Hampshire County,Massachusetts,19009.0,10864.0,6474.0,28202.0
Hampton City,Virginia,13188.0,12694.0,-90.0,25298.0
Hampton County,South Carolina,802.0,1779.0,-1019.0,2539.0
Hancock County,Georgia,19926.0,19865.0,-718.0,39012.0
Hand County,South Dakota,99.0,175.0,-81.0,269.0
Hanover County,Virginia,7116.0,5591.0,1355.0,12537.0
Hansford County,Texas,345.0,406.0,-103.0,709.0
Hanson County,South Dakota,131.0,401.0,-270.0,532.0
Haralson County,Georgia,1716.0,1831.0,-201.0,3461.0
Hardee County,Florida,1026.0,1896.0,-940.0,2852.0
Hardeman County,Tennessee,1630.0,1567.0,61.0,3195.0
Hardin County,Illinois,18349.0,15159.0,2393.0,32711.0
Harding County,New Mexico,99.0,213.0,-114.0,312.0
Hardy County,West Virginia,808.0,545.0,209.0,1299.0
Harford County,Maryland,12476.0,12626.0,-896.0,24356.0
Harlan County,Kentucky,1043.0,1212.0,-225.0,2199.0
Harmon County,Oklahoma,90.0,126.0,-40.0,212.0
Harnett County,North Carolina,13749.0,11475.0,1643.0,24593.0
Harney County,Oregon,599.0,626.0,-31.0,1221.0
Harper County,Kansas,552.0,449.0,92.0,990.0
Harris County,Georgia,211235.0,183568.0,-18210.0,348926.0
Harrison County,Indiana,32777.0,27661.0,4433.0,59755.0
Harrisonburg City,Virginia,10941.0,5923.0,4437.0,16283.0
Hart County,Georgia,2397.0,2595.0,-300.0,4890.0
Hartford County,Connecticut,38887.0,42012.0,-8067.0,75957.0
Hartley County,Texas,806.0,1046.0,-243.0,1849.0
Harvey County,Kansas,2601.0,2224.0,316.0,4764.0
Haskell County,Kansas,1926.0,1426.0,375.0,3227.0
Hatillo Municipio,Puerto Rico,214.0,1660.0,-1455.0,1865.0
Hawaii County,Hawaii,9244.0,9347.0,-1472.0,17222.0
Hawkins County,Tennessee,3486.0,3692.0,-214.0,7170.0
Hayes County,Nebraska,15.0,11.0,3.0,25.0
Hays County,Texas,23299.0,16798.0,6016.0,39612.0
Haywood County,North Carolina,4205.0,4139.0,27.0,8305.0
Heard County,Georgia,880.0,708.0,172.0,1588.0
Hemphill County,Texas,350.0,326.0,24.0,676.0
Hempstead County,Arkansas,1154.0,798.0,343.0,1939.0
Henderson County,Illinois,16787.0,13470.0,2698.0,29638.0
Hendricks County,Indiana,13873.0,11275.0,2226.0,24776.0
Hendry County,Florida,2510.0,1857.0,-259.0,3455.0
Hennepin County,Minnesota,84966.0,79982.0,-4125.0,155839.0
Henrico County,Virginia,22839.0,21959.0,-1595.0,42323.0
Henry County,Alabama,31975.0,29392.0,1751.0,60535.0
Herkimer County,New York,2647.0,2510.0,106.0,5126.0
Hernando County,Florida,15996.0,10120.0,5176.0,25416.0
Hertford County,North Carolina,2301.0,1031.0,1224.0,3286.0
Hettinger County,North Dakota,177.0,205.0,-32.0,378.0
Hickman County,Kentucky,1208.0,1292.0,-99.0,2485.0
Hickory County,Missouri,853.0,545.0,297.0,1387.0
Hidalgo County,New Mexico,21896.0,22156.0,-4942.0,39370.0
Highland County,Ohio,2712.0,2712.0,-27.0,5397.0
Highlands County,Florida,7160.0,5854.0,452.0,12160.0
Hill County,Montana,3641.0,2855.0,630.0,6340.0
Hillsborough County,Florida,129873.0,101773.0,10818.0,214364.0
Hillsdale County,Michigan,2851.0,3124.0,-371.0,5877.0
Hinds County,Mississippi,13306.0,15450.0,-2651.0,28249.0
Hinsdale County,Colorado,69.0,18.0,51.0,87.0
Hitchcock County,Nebraska,153.0,124.0,26.0,274.0
Hocking County,Ohio,1053.0,1573.0,-549.0,2597.0
Hockley County,Texas,1736.0,1414.0,238.0,3066.0
