County,State,crime_rate_per_100000,INflow,OUTflow,NET in,GROSS out
red river county,tx,136.3271852,394.0,409.0,-15.0,803.0
hale county,al,136.3105284,3653.0,3767.0,-256.0,7278.0
bollinger county,mo,136.1088871,996.0,914.0,82.0,1910.0
reeves county,tx,136.0544218,1376.0,815.0,298.0,1928.0
charlton county,ga,135.7978121,736.0,969.0,-421.0,1517.0
baca county,co,135.7957632,202.0,145.0,43.0,333.0
arlington county,va,135.6122113,30463.0,32355.0,-6849.0,57861.0
darke county,oh,135.558271,2399.0,1654.0,704.0,4012.0
avery county,nc,135.4937052,1854.0,1087.0,756.0,2930.0
goliad county,tx,133.9584729,327.0,517.0,-191.0,843.0
walthall county,ms,133.949501,318.0,743.0,-426.0,1060.0
roger mills county,ok,133.5826877,344.0,138.0,206.0,482.0
lamar county,al,133.4644563,11163.0,8072.0,2931.0,19075.0
love county,ok,133.4428249,693.0,773.0,-80.0,1466.0
montague county,tx,133.3128237,1557.0,1146.0,391.0,2683.0
sitka city and borough,ak,133.037694,892.0,819.0,21.0,1659.0
trigg county,ky,132.9322046,1148.0,797.0,336.0,1930.0
ionia county,mi,132.6611833,3867.0,4512.0,-695.0,8329.0
carlton county,mn,132.5437112,2114.0,2082.0,-18.0,4146.0
alcona county,mi,132.3501607,580.0,1554.0,-980.0,2128.0
itawamba county,ms,132.2864214,1265.0,1412.0,-147.0,2677.0
vermillion county,in,132.2584708,604.0,1106.0,-506.0,1706.0
rio blanco county,co,132.2168356,675.0,606.0,67.0,1279.0
mcculloch county,tx,132.0528211,348.0,1554.0,-1206.0,1902.0
sanders county,mt,132.0073924,1130.0,778.0,346.0,1902.0
williamsburg city,va,131.5270288,4060.0,3039.0,567.0,6645.0
holt county,mo,131.3485114,664.0,1010.0,-383.0,1637.0
osborne county,ks,130.9586171,242.0,325.0,-85.0,565.0
cortland county,ny,130.6762496,2984.0,1924.0,954.0,4802.0
griggs county,nd,130.6620209,130.0,170.0,-40.0,300.0
manassas park city,va,130.0390117,2330.0,2451.0,-184.0,4718.0
watauga county,nc,129.8403727,8151.0,4617.0,3459.0,12693.0
moffat county,co,129.7412806,1256.0,1162.0,-52.0,2272.0
merrimack county,nh,129.384606,10534.0,9542.0,495.0,19579.0
highland county,oh,129.333241,2712.0,2712.0,-27.0,5397.0
tucker county,wv,129.1618829,316.0,273.0,40.0,586.0
summit county,co,129.1493595,30410.0,32663.0,-4086.0,61240.0
calumet county,wi,128.9880485,2673.0,2922.0,-351.0,5493.0
pondera county,mt,128.8037353,431.0,396.0,16.0,808.0
hood county,tx,128.5322748,5721.0,3804.0,1781.0,9389.0
venango county,pa,127.9982192,1819.0,1922.0,-148.0,3696.0
nemaha county,ks,127.9401634,1234.0,999.0,118.0,2116.0
huntington county,in,127.7486342,2123.0,2123.0,-49.0,4197.0
susquehanna county,pa,127.7018399,1798.0,1832.0,-58.0,3606.0
wallace county,ks,127.4697259,102.0,46.0,56.0,148.0
calloway county,ky,127.4663409,3530.0,1982.0,1299.0,5263.0
frio county,tx,127.3180183,3439.0,843.0,1040.0,2726.0
prince edward county,va,127.1818262,2324.0,1345.0,947.0,3637.0
calvert county,md,127.0942929,5209.0,5760.0,-957.0,10563.0
clinton county,il,126.6256892,24187.0,21904.0,1450.0,45258.0
wheeler county,ga,126.4382349,702.0,1574.0,-890.0,2258.0
yamhill county,or,126.0858774,7247.0,7233.0,-313.0,14153.0
ida county,ia,126.0327685,325.0,333.0,-11.0,655.0
somerset county,me,125.7107492,28617.0,30859.0,-4819.0,56899.0
bayfield county,wi,125.3628926,629.0,656.0,-47.0,1265.0
las animas county,co,124.6019659,1279.0,903.0,343.0,2149.0
iberia parish,la,124.5296299,2749.0,3427.0,-715.0,6139.0
huron county,mi,124.1310824,3801.0,5040.0,-1436.0,8644.0
